timestamp,server,cpu_idle,memory_idle,tasks_in_progress
2025-03-27 13:51:51,server1,89.74,90.31,1
2025-03-27 13:51:51,server2,95.38,96.98,0
2025-03-27 13:51:51,server3,100,100,0
2025-03-27 13:51:53,server1,89.74,90.31,1
2025-03-27 13:51:53,server2,95.38,96.98,0
2025-03-27 13:51:53,server3,100,100,0
2025-03-27 13:51:54,server1,89.74,90.31,1
2025-03-27 13:51:54,server2,95.38,96.98,0
2025-03-27 13:51:54,server3,100,100,0
2025-03-27 13:51:55,server1,89.74,90.31,1
2025-03-27 13:51:55,server2,95.38,96.98,0
2025-03-27 13:51:55,server3,100,100,0
2025-03-27 13:51:56,server1,95.02,94.17,0
2025-03-27 13:51:56,server2,95.38,96.98,0
2025-03-27 13:51:56,server3,100,100,0
2025-03-27 13:51:57,server1,95.02,94.17,0
2025-03-27 13:51:57,server2,95.38,96.98,0
2025-03-27 13:51:57,server3,100,100,0
2025-03-27 13:51:58,server1,95.02,94.17,0
2025-03-27 13:51:58,server2,95.38,96.98,0
2025-03-27 13:51:58,server3,89.7,93.51,1
2025-03-27 13:51:59,server1,95.02,94.17,0
2025-03-27 13:51:59,server2,95.38,96.98,0
2025-03-27 13:51:59,server3,89.7,93.51,1
2025-03-27 13:52:00,server1,95.02,94.17,0
2025-03-27 13:52:00,server2,95.38,96.98,0
2025-03-27 13:52:00,server3,89.7,93.51,1
2025-03-27 13:52:01,server1,95.02,94.17,0
2025-03-27 13:52:01,server2,95.38,96.98,0
2025-03-27 13:52:01,server3,89.7,93.51,1
2025-03-27 13:52:02,server1,95.02,94.17,0
2025-03-27 13:52:02,server2,95.38,96.98,0
2025-03-27 13:52:02,server3,89.7,93.51,1
2025-03-27 13:52:03,server1,95.02,94.17,0
2025-03-27 13:52:03,server2,95.38,96.98,0
2025-03-27 13:52:03,server3,89.7,93.51,1
2025-03-27 13:52:04,server1,95.02,94.17,0
2025-03-27 13:52:04,server2,95.38,96.98,0
2025-03-27 13:52:04,server3,89.7,93.51,1
2025-03-27 13:52:05,server1,95.02,94.17,0
2025-03-27 13:52:05,server2,95.38,96.98,0
2025-03-27 13:52:05,server3,89.7,93.51,1
2025-03-27 13:52:06,server1,95.02,94.17,0
2025-03-27 13:52:06,server2,95.38,96.98,0
2025-03-27 13:52:06,server3,89.7,93.51,1
2025-03-27 13:52:07,server1,95.02,94.17,0
2025-03-27 13:52:07,server2,83.77,90.04,1
2025-03-27 13:52:07,server3,93.11,96.7,0
2025-03-27 13:52:08,server1,95.02,94.17,0
2025-03-27 13:52:08,server2,83.77,90.04,1
2025-03-27 13:52:08,server3,93.11,96.7,0
2025-03-27 13:52:09,server1,95.02,94.17,0
2025-03-27 13:52:09,server2,83.77,90.04,1
2025-03-27 13:52:09,server3,93.11,96.7,0
2025-03-27 13:52:10,server1,95.02,94.17,0
2025-03-27 13:52:10,server2,83.77,90.04,1
2025-03-27 13:52:10,server3,93.11,96.7,0
2025-03-27 13:52:11,server1,95.02,94.17,0
2025-03-27 13:52:11,server2,83.77,90.04,1
2025-03-27 13:52:11,server3,93.11,96.7,0
2025-03-27 13:52:12,server1,95.02,94.17,0
2025-03-27 13:52:12,server2,83.77,90.04,1
2025-03-27 13:52:12,server3,93.11,96.7,0
